year,shareholder_name,share_percentage
2019,Mr S E Captain,11.62
2019,LF Ruffer Total Return Fund,0.85
2019,LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,0.86
2019,Mrs S A J De Fonseka,1.00
2019,Schroder Asian Growth Fund,1.00
2019,Aberdeen Standard SICAV I - Asian Smaller Companies Fund,1.27
2019,Employees Trust Fund Board,1.42
2019,Fidelity Fund - Pacific,1.45
2019,Mr Kandiah Balendra,1.48
2019,Aberdeen Standard SICAV I - Asia Pacific Equity Fund,1.51
2019,Mrs C S De Fonseka,1.04
2019,Norges Bank Account 2,2.15
2019,Edgbaston Asian Equity Trust,2.26
2019,Mr R S Captain,2.71
2019,HWIC Asia Fund,2.98
2019,Schroder International Selection Fund,3.22
2019,Paints & General Industries Limited,7.11
2019,Melstacorp PLC,9.78
2019,Citigroup Global Markets Limited Agency Trading Prop Securities A/C,10.76
2019,Aberdeen Standard Asia Focus PLC,1.72
2020,Fidelity Fund - Pacific,1.35
2020,Mrs C S De Fonseka,1.28
2020,Mrs S A J De Fonseka,1.15
2020,Edgbaston Asian Equity Trust,1.12
2020,Employee's Provident Fund,0.77
2020,LF Ruffer Investment Funds: LF Ruffer Pacific and Emerging Markets Fund,0.86
2020,Mr K N J Balendra,0.83
2020,Schroder Asian Growth Fund,0.78
2020,Employees Trust Fund Board,1.42
2020,Chemanex PLC,0.87
2020,Mr Kandiah Balendra,1.48
2020,Paints and General Industries Limited,8.71
2020,Norges Bank Account 2,2.40
2020,Aberdeen Standard Asia Focus PLC,1.81
2020,,%
2020,,
2020,Mr S E Captain,11.42
2020,Citigroup Global Markets Limited Agency Trading Prop Securities A/C,10.75
2020,,
2020,Schroder International Selection Fund,3.22
2020,HWIC Asia Fund,2.97
2020,Mr R S Captain,2.69
2020,Melstacorp PLC,9.77
2021,Employees Trust Fund Board,1.34
2021,Schroder Asian Growth Fund,0.75
2021,Mr K N J Balendra,0.79
2021,Sri Lanka Insurance Corporation Limited - Life Fund,0.89
2021,Chemanex PLC,0.91
2021,Edgbaston Asian Equity Trust,1.09
2021,Mrs S A J De Fonseka,1.10
2021,Mrs C S De Fonseka,1.26
2021,Fidelity Fund - Pacific,1.29
2021,Aberdeen Standard Asia Focus PLC,2.03
2021,Mr Kandiah Balendra,1.41
2021,Mr R S Captain,2.48
2021,Norges Bank Account 2,2.30
2021,,
2021,Paints and General Industries Limited,10.14
2021,Mr S E Captain,9.69
2021,Melstacorp PLC,9.31
2021,,%
2021,Asian Development Bank,4.70
2021,Citigroup Global Markets Limited Agency Trading Prop Securities A/C,4.47
2021,Schroder International Selection Fund,3.03
2021,HWIC Asia Fund,8.61
2022,Norges Bank Account 2,2.30
2022,Chemanex PLC,0.95
2022,Polypak Secco Limited,1.08
2022,Mrs S A J De Fonseka,1.10
2022,Fidelity Fund - Pacific,1.10
2022,Sunsuper Superannuation Fund,0.84
2022,Mrs C S De Fonseka,1.27
2022,Employees Trust Fund Board,1.34
2022,Mr Kandiah Balendra,1.41
2022,Sri Lanka Insurance Corporation Limited - Life Fund,1.58
2022,Aberdeen Standard Asia Focus PLC,2.41
2022,Edgbaston Asian Equity Trust,1.27
2022,Schroder International Selection Fund,3.21
2022,Citigroup Global Markets Limited Agency Trading Prop Securities A/C,4.47
2022,Asian Development Bank,4.70
2022,Paints and General Industries Limited,7.27
2022,HWIC Asia Fund,8.61
2022,Melstacorp PLC,9.31
2022,Mr S E Captain,9.68
2022,,
2022,,%
2022,,
2022,CIC Holdings PLC,2.55
2023,Mr Kandiah Balendra,1.30
2023,Mrs C S De Fonseka,1.17
2023,Emrevival Master Fund LP,1.07
2023,Employees Trust Fund Board,0.87
2023,Hostplus Pooled Superannuation Trust,1.01
2023,Chemanex PLC,1.01
2023,Edgbaston Asian Equity Trust,0.95
2023,Polypak Secco Limited,2.11
2023,Mrs S A J De Fonseka,1.02
2023,Norges Bank Account 2,2.21
2023,Mr S E Captain,8.18
2023,Schroder International Selection Fund,2.96
2023,Asian Development Bank,4.34
2023,CIC Holdings PLC,5.70
2023,Paints & General Industries Limited,5.81
2023,Melstacorp PLC,8.60
2023,HWIC Asia Fund,19.42
2023,,
2023,,%
2023,,
2023,Sunsuper Superannuation Fund,0.87
2023,Aberdeen Standard Asia Focus PLC,2.34
2023,Mr K N J Balendra,0.73
